Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/stages/stages.2/blocks/blocks.2/context_module/main/Shape,Shape,0,0.00%,32,0.00%,0,0.00%,1x256x18x18,4
/stages/stages.2/blocks/blocks.2/context_module/main/Gather,Gather,0,0.00%,0,0.00%,0,0.00%,4,0
/stages/stages.2/blocks/blocks.2/context_module/main/qkv/conv/Conv,Conv,63700992,0.95%,2777088,0.25%,196608,0.40%,1x256x18x18,1x768x18x18
/stages/stages.2/blocks/blocks.2/context_module/main/aggreg.0/aggreg.0.0/Conv,Conv,6220800,0.09%,2067456,0.19%,19200,0.04%,1x768x18x18,1x768x18x18
/stages/stages.2/blocks/blocks.2/context_module/main/aggreg.0/aggreg.0.1/Conv,Conv,7962624,0.12%,2088960,0.19%,24576,0.05%,1x768x18x18,1x768x18x18
/stages/stages.2/blocks/blocks.2/context_module/main/Concat,Concat,0,0.00%,3981312,0.36%,0,0.00%,1x768x18x18,1x1536x18x18
/stages/stages.2/blocks/blocks.2/context_module/main/Unsqueeze,Unsqueeze,0,0.00%,8,0.00%,0,0.00%,0,1
/stages/stages.2/blocks/blocks.2/context_module/main/Concat_1,Concat,0,0.00%,32,0.00%,0,0.00%,1,4
/stages/stages.2/blocks/blocks.2/context_module/main/Reshape,Reshape,0,0.00%,3981312,0.36%,0,0.00%,1x1536x18x18,1x16x96x324
/stages/stages.2/blocks/blocks.2/context_module/main/Transpose,Transpose,0,0.00%,3981312,0.36%,0,0.00%,1x16x96x324,1x16x324x96
/stages/stages.2/blocks/blocks.2/context_module/main/Shape_3,Shape,0,0.00%,32,0.00%,0,0.00%,1x16x324x96,4
/stages/stages.2/blocks/blocks.2/context_module/main/Gather_3,Gather,0,0.00%,8,0.00%,0,0.00%,4,1
/stages/stages.2/blocks/blocks.2/context_module/main/Add,Add,1,0.00%,8,0.00%,0,0.00%,1,1
/stages/stages.2/blocks/blocks.2/context_module/main/Div,Div,4,0.00%,8,0.00%,0,0.00%,1,1
/stages/stages.2/blocks/blocks.2/context_module/main/Slice,Slice,0,0.00%,1327104,0.12%,0,0.00%,1x16x324x96,1x16x324x32
/stages/stages.2/blocks/blocks.2/context_module/main/Mul_2,Mul,1,0.00%,8,0.00%,0,0.00%,1,1
/stages/stages.2/blocks/blocks.2/context_module/main/Slice_1,Slice,0,0.00%,1327104,0.12%,0,0.00%,1x16x324x96,1x16x324x32
/stages/stages.2/blocks/blocks.2/context_module/main/Mul_3,Mul,1,0.00%,8,0.00%,0,0.00%,1,1
/stages/stages.2/blocks/blocks.2/context_module/main/Slice_2,Slice,0,0.00%,1327104,0.12%,0,0.00%,1x16x324x96,1x16x324x32
/stages/stages.2/blocks/blocks.2/context_module/main/kernel_func/Relu,Relu,165888,0.00%,1327104,0.12%,0,0.00%,1x16x324x32,1x16x324x32
/stages/stages.2/blocks/blocks.2/context_module/main/kernel_func_1/Relu,Relu,165888,0.00%,1327104,0.12%,0,0.00%,1x16x324x32,1x16x324x32
/stages/stages.2/blocks/blocks.2/context_module/main/Pad,Pad,0,0.00%,1368576,0.12%,0,0.00%,1x16x324x32,1x16x324x33
/stages/stages.2/blocks/blocks.2/context_module/main/Transpose_2,Transpose,0,0.00%,1327104,0.12%,0,0.00%,1x16x324x32,1x16x32x324
/stages/stages.2/blocks/blocks.2/context_module/main/MatMul,MatMul,5474304,0.08%,135168,0.01%,0,0.00%,1x16x32x324,1x16x32x33
/stages/stages.2/blocks/blocks.2/context_module/main/MatMul_1,MatMul,5474304,0.08%,1368576,0.12%,0,0.00%,1x16x324x32,1x16x324x33
/stages/stages.2/blocks/blocks.2/context_module/main/Slice_4,Slice,0,0.00%,1327104,0.12%,0,0.00%,1x16x324x33,1x16x324x32
/stages/stages.2/blocks/blocks.2/context_module/main/Slice_5,Slice,0,0.00%,41472,0.00%,0,0.00%,1x16x324x33,1x16x324x1
/stages/stages.2/blocks/blocks.2/context_module/main/Add_1,Add,5184,0.00%,41472,0.00%,0,0.00%,1x16x324x1,1x16x324x1
/stages/stages.2/blocks/blocks.2/context_module/main/Div_1,Div,663552,0.01%,1327104,0.12%,0,0.00%,1x16x324x32,1x16x324x32
/stages/stages.2/blocks/blocks.2/context_module/main/Transpose_3,Transpose,0,0.00%,1327104,0.12%,0,0.00%,1x16x324x32,1x16x32x324
/stages/stages.2/blocks/blocks.2/context_module/main/Concat_3,Concat,0,0.00%,32,0.00%,0,0.00%,1,4
/stages/stages.2/blocks/blocks.2/context_module/main/Reshape_3,Reshape,0,0.00%,1327104,0.12%,0,0.00%,1x16x32x324,1x512x18x18
/stages/stages.2/blocks/blocks.2/context_module/main/proj/conv/Conv,Conv,42550272,0.63%,1188864,0.11%,131328,0.27%,1x512x18x18,1x256x18x18
/stages/stages.2/blocks/blocks.2/context_module/Add,Add,82944,0.00%,663552,0.06%,0,0.00%,1x256x18x18,1x256x18x18
/stages/stages.2/blocks/blocks.2/local_module/main/inverted_conv/conv/Conv,Conv,85266432,1.27%,3706880,0.34%,263168,0.54%,1x256x18x18,1x1024x18x18
/stages/stages.2/blocks/blocks.2/local_module/main/inverted_conv/act/HardSwish,HardSwish,1658880,0.02%,2654208,0.24%,0,0.00%,1x1024x18x18,1x1024x18x18
/stages/stages.2/blocks/blocks.2/local_module/main/depth_conv/conv/Conv,Conv,3317760,0.05%,2695168,0.25%,10240,0.02%,1x1024x18x18,1x1024x18x18
/stages/stages.2/blocks/blocks.2/local_module/main/depth_conv/act/HardSwish,HardSwish,1658880,0.02%,2654208,0.24%,0,0.00%,1x1024x18x18,1x1024x18x18
/stages/stages.2/blocks/blocks.2/local_module/main/point_conv/conv/Conv,Conv,85017600,1.26%,1713152,0.16%,262400,0.54%,1x1024x18x18,1x256x18x18
/stages/stages.2/blocks/blocks.2/local_module/Add,Add,82944,0.00%,663552,0.06%,0,0.00%,1x256x18x18,1x256x18x18
