Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/backbone/stages.3/op_list.1/context_module/main/kernel_func/Relu,Relu,82944,0.00%,663552,0.06%,0,0.00%,1x32x32x81,1x32x32x81
/backbone/stages.3/op_list.1/context_module/main/kernel_func_1/Relu,Relu,82944,0.00%,663552,0.06%,0,0.00%,1x32x32x81,1x32x32x81
/backbone/stages.3/op_list.1/context_module/main/Transpose,Transpose,0,0.00%,663552,0.06%,0,0.00%,1x32x32x81,1x32x81x32
/backbone/stages.3/op_list.1/context_module/main/Pad,Pad,0,0.00%,684288,0.07%,0,0.00%,1x32x32x81,1x32x33x81
/backbone/stages.3/op_list.1/context_module/main/MatMul,MatMul,2737152,0.04%,270336,0.03%,0,0.00%,1x32x33x81,1x32x33x32
/backbone/stages.3/op_list.1/context_module/main/MatMul_1,MatMul,2737152,0.04%,684288,0.07%,0,0.00%,1x32x33x32,1x32x33x81
/backbone/stages.3/op_list.1/context_module/main/Slice_4,Slice,0,0.00%,663552,0.06%,0,0.00%,1x32x33x81,1x32x32x81
/backbone/stages.3/op_list.1/context_module/main/Slice_5,Slice,0,0.00%,20736,0.00%,0,0.00%,1x32x33x81,1x32x1x81
/backbone/stages.3/op_list.1/context_module/main/Add,Add,2592,0.00%,20736,0.00%,0,0.00%,1x32x1x81,1x32x1x81
/backbone/stages.3/op_list.1/context_module/main/Div,Div,331776,0.01%,663552,0.06%,0,0.00%,1x32x32x81,1x32x32x81
/backbone/stages.3/op_list.1/context_module/main/Concat_3,Concat,0,0.00%,40,0.00%,1,0.00%,1,4
/backbone/stages.3/op_list.1/context_module/main/Reshape_3,Reshape,0,0.00%,663552,0.06%,0,0.00%,1x32x32x81,1x1024x9x9
/backbone/stages.3/op_list.1/context_module/main/proj/conv/Conv,Conv,42508800,0.64%,2430976,0.23%,524800,1.08%,1x1024x9x9,1x512x9x9
/backbone/stages.3/op_list.1/context_module/Add,Add,41472,0.00%,331776,0.03%,0,0.00%,1x512x9x9,1x512x9x9
/backbone/stages.3/op_list.1/local_module/main/inverted_conv/conv/Conv,Conv,85100544,1.29%,5529600,0.53%,1050624,2.16%,1x512x9x9,1x2048x9x9
/backbone/stages.3/op_list.1/local_module/main/inverted_conv/act/Relu,Relu,165888,0.00%,1327104,0.13%,0,0.00%,1x2048x9x9,1x2048x9x9
/backbone/stages.3/op_list.1/local_module/main/depth_conv/conv/Conv,Conv,1658880,0.03%,1409024,0.14%,20480,0.04%,1x2048x9x9,1x2048x9x9
