Name                                                                       Type                Forward_MACs    FPercent    Memory         MPercent    Params      PPercent    InShape        OutShape
/backbone/stages.1/op_list.5/main/point_conv/conv/Conv                     Conv                85,100,544      1.29%       1,589,760      0.15%       65,664      0.14%       1x512x36x36    1x128x36x36
/backbone/stages.1/op_list.5/Add                                           Add                 165,888         0.00%       1,327,104      0.13%       0           0.00%       1x128x36x36    1x128x36x36
/backbone/stages.2/op_list.0/main/inverted_conv/conv/Conv                  Conv                85,598,208      1.30%       5,572,608      0.54%       66,048      0.14%       1x128x36x36    1x512x36x36
/backbone/stages.2/op_list.0/main/inverted_conv/act/Relu                   Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x512x36x36    1x512x36x36
/backbone/stages.2/op_list.0/main/depth_conv/conv/Conv                     Conv                1,658,880       0.03%       1,347,584      0.13%       5,120       0.01%       1x512x36x36    1x512x18x18
/backbone/stages.2/op_list.0/main/depth_conv/act/Relu                      Relu                165,888         0.00%       1,327,104      0.13%       0           0.00%       1x512x18x18    1x512x18x18
/backbone/stages.2/op_list.0/main/point_conv/conv/Conv                     Conv                42,550,272      0.64%       1,188,864      0.11%       131,328     0.27%       1x512x18x18    1x256x18x18
/backbone/stages.2/op_list.1/context_module/main/qkv/conv/Conv             Conv                63,700,992      0.96%       2,777,088      0.27%       196,608     0.40%       1x256x18x18    1x768x18x18
/backbone/stages.2/op_list.1/context_module/main/aggreg.0/aggreg.0.0/Conv  Conv                6,220,800       0.09%       2,067,456      0.20%       19,200      0.04%       1x768x18x18    1x768x18x18
/backbone/stages.2/op_list.1/context_module/main/aggreg.0/aggreg.0.1/Conv  Conv                7,962,624       0.12%       2,088,960      0.20%       24,576      0.05%       1x768x18x18    1x768x18x18
/backbone/stages.2/op_list.1/context_module/main/Concat                    Concat              0               0.00%       3,981,312      0.38%       0           0.00%       1x768x18x18    1x1536x18x18
/backbone/stages.2/op_list.1/context_module/main/Shape                     Shape               0               0.00%       32             0.00%       0           0.00%       1x1536x18x18   4
